query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (414,24,'Patan');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (415,24,'Porbandar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (416,24,'Rajkot');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (417,24,'Sabar Kantha');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (418,24,'Surat');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (419,24,'Surendranagar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (585,24,'Tapi');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (420,24,'Vadodara');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (421,24,'Valsad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (305339,24,'Vav-Tharad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (58,6,'Ambala');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (59,6,'Bhiwani');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (299182,6,'Charkhi Dadri');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (60,6,'Faridabad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (61,6,'Fatehabad');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (62,6,'Gurugram');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (63,6,'Hisar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (64,6,'Jhajjar');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (65,6,'Jind');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (66,6,'Kaithal');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (67,6,'Karnal');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (68,6,'Kurukshetra');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (69,6,'Mahendragarh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (554,6,'Nuh');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (563,6,'Palwal');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (70,6,'Panchkula');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (71,6,'Panipat');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (72,6,'Rewari');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (73,6,'Rohtak');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (74,6,'Sirsa');; affectedRows: 1
query: INSERT INTO pri_district_panchayats(district_panchayat_id, state_ut_id, district_panchayat_name) VALUES (75,6,'Sonipat');; affectedRows: 1
