query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Tantoti' AND local_body_id='301901';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Todabhim' AND local_body_id='248715';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Tonk' AND local_body_id='248797';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Vallabhnagar' AND local_body_id='301408';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Vatika' AND local_body_id='301455';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipal Council' WHERE local_body_name='Vijainagar' AND local_body_id='248791';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Abu Road' AND local_body_id='248774';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Ahore' AND local_body_id='301405';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Ajeetgarh' AND local_body_id='299977';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Aklera' AND local_body_id='248865';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Akola' AND local_body_id='301433';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Amet' AND local_body_id='248817';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Anta' AND local_body_id='248857';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Anupgarh' AND local_body_id='248656';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Asind' AND local_body_id='248808';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Atru' AND local_body_id='296934';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Baggar' AND local_body_id='248684';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Municipality(Nagar Palika)' WHERE local_body_name='Bagru' AND local_body_id='248735';; affectedRows: 1
