query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Handiaya' AND local_body_id='248379';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Joga' AND local_body_id='262906';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Khamanon' AND local_body_id='248331';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Khanauri' AND local_body_id='248393';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Khemkaran' AND local_body_id='248276';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Kiratpur Sahib' AND local_body_id='261446';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Kotha Guru' AND local_body_id='260780';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Kot Ise Khan' AND local_body_id='262989';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Kot Shamir' AND local_body_id='260782';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Lehra Mohabat' AND local_body_id='260778';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Lohian Khas' AND local_body_id='248287';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Mahilpur' AND local_body_id='248310';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Majitha' AND local_body_id='248271';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Makhu' AND local_body_id='248348';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Mallanwala' AND local_body_id='253222';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Maloud' AND local_body_id='248335';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Maluka' AND local_body_id='260781';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Mamdot' AND local_body_id='277197';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Mehatpur' AND local_body_id='277201';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Mehraj' AND local_body_id='260771';; affectedRows: 1
query: UPDATE ulb_local_bodies SET local_body_type='Nagar Panchayat	' WHERE local_body_name='Moonak' AND local_body_id='248392';; affectedRows: 1
